"StichtagDatJahr","StatZoneSort","StatZoneLang","QuarSort","QuarLang","KreisSort","HerkunftSort","KonOGDSort","KonOGDKurz","AnzBestWir"
1993,1101,"Zähringerstrasse",11,"Rathaus",1,1,1,"EV-REF",157
1993,1101,"Zähringerstrasse",11,"Rathaus",1,1,2,"RK",122
1993,1101,"Zähringerstrasse",11,"Rathaus",1,1,4,"andere Konf.",129
1993,1101,"Zähringerstrasse",11,"Rathaus",1,2,1,"EV-REF",8
1993,1101,"Zähringerstrasse",11,"Rathaus",1,2,2,"RK",73
1993,1101,"Zähringerstrasse",11,"Rathaus",1,2,4,"andere Konf.",95
1993,1102,"Prediger",11,"Rathaus",1,1,1,"EV-REF",333
1993,1102,"Prediger",11,"Rathaus",1,1,2,"RK",208
1993,1102,"Prediger",11,"Rathaus",1,1,4,"andere Konf.",269
1993,1102,"Prediger",11,"Rathaus",1,2,1,"EV-REF",14
1993,1102,"Prediger",11,"Rathaus",1,2,2,"RK",66
1993,1102,"Prediger",11,"Rathaus",1,2,4,"andere Konf.",89
1993,1103,"Grossmünster",11,"Rathaus",1,1,1,"EV-REF",314
1993,1103,"Grossmünster",11,"Rathaus",1,1,2,"RK",176
1993,1103,"Grossmünster",11,"Rathaus",1,1,4,"andere Konf.",209
1993,1103,"Grossmünster",11,"Rathaus",1,2,1,"EV-REF",24
1993,1103,"Grossmünster",11,"Rathaus",1,2,2,"RK",68
1993,1103,"Grossmünster",11,"Rathaus",1,2,4,"andere Konf.",94
1993,1104,"Oberdorf",11,"Rathaus",1,1,1,"EV-REF",260
1993,1104,"Oberdorf",11,"Rathaus",1,1,2,"RK",141
1993,1104,"Oberdorf",11,"Rathaus",1,1,4,"andere Konf.",169
1993,1104,"Oberdorf",11,"Rathaus",1,2,1,"EV-REF",11
1993,1104,"Oberdorf",11,"Rathaus",1,2,2,"RK",45
1993,1104,"Oberdorf",11,"Rathaus",1,2,4,"andere Konf.",59
1993,1201,"Central",12,"Hochschulen",1,1,1,"EV-REF",121
1993,1201,"Central",12,"Hochschulen",1,1,2,"RK",136
1993,1201,"Central",12,"Hochschulen",1,1,4,"andere Konf.",42
1993,1201,"Central",12,"Hochschulen",1,2,1,"EV-REF",15
1993,1201,"Central",12,"Hochschulen",1,2,2,"RK",33
1993,1201,"Central",12,"Hochschulen",1,2,4,"andere Konf.",27
1993,1202,"ETH / Universität",12,"Hochschulen",1,1,1,"EV-REF",28
1993,1202,"ETH / Universität",12,"Hochschulen",1,1,2,"RK",63
1993,1202,"ETH / Universität",12,"Hochschulen",1,1,4,"andere Konf.",21
1993,1202,"ETH / Universität",12,"Hochschulen",1,2,1,"EV-REF",2
1993,1202,"ETH / Universität",12,"Hochschulen",1,2,2,"RK",17
1993,1202,"ETH / Universität",12,"Hochschulen",1,2,4,"andere Konf.",13
1993,1203,"Bellevue",12,"Hochschulen",1,1,1,"EV-REF",103
1993,1203,"Bellevue",12,"Hochschulen",1,1,2,"RK",44
1993,1203,"Bellevue",12,"Hochschulen",1,1,4,"andere Konf.",56
1993,1203,"Bellevue",12,"Hochschulen",1,2,1,"EV-REF",15
1993,1203,"Bellevue",12,"Hochschulen",1,2,2,"RK",26
1993,1203,"Bellevue",12,"Hochschulen",1,2,4,"andere Konf.",46
1993,1301,"Schipfe",13,"Lindenhof",1,1,1,"EV-REF",195
1993,1301,"Schipfe",13,"Lindenhof",1,1,2,"RK",111
1993,1301,"Schipfe",13,"Lindenhof",1,1,4,"andere Konf.",122
1993,1301,"Schipfe",13,"Lindenhof",1,2,1,"EV-REF",14
1993,1301,"Schipfe",13,"Lindenhof",1,2,2,"RK",20
1993,1301,"Schipfe",13,"Lindenhof",1,2,4,"andere Konf.",32
1993,1302,"Münsterhof",13,"Lindenhof",1,1,1,"EV-REF",197
1993,1302,"Münsterhof",13,"Lindenhof",1,1,2,"RK",106
1993,1302,"Münsterhof",13,"Lindenhof",1,1,4,"andere Konf.",101
1993,1302,"Münsterhof",13,"Lindenhof",1,2,1,"EV-REF",6
1993,1302,"Münsterhof",13,"Lindenhof",1,2,2,"RK",56
1993,1302,"Münsterhof",13,"Lindenhof",1,2,4,"andere Konf.",50
1993,1303,"Stadthaus",13,"Lindenhof",1,1,1,"EV-REF",66
1993,1303,"Stadthaus",13,"Lindenhof",1,1,2,"RK",38
1993,1303,"Stadthaus",13,"Lindenhof",1,1,4,"andere Konf.",15
1993,1303,"Stadthaus",13,"Lindenhof",1,2,1,"EV-REF",0
1993,1303,"Stadthaus",13,"Lindenhof",1,2,2,"RK",4
1993,1303,"Stadthaus",13,"Lindenhof",1,2,4,"andere Konf.",3
1993,1401,"Bahnhofplatz",14,"City",1,1,1,"EV-REF",17
1993,1401,"Bahnhofplatz",14,"City",1,1,2,"RK",4
1993,1401,"Bahnhofplatz",14,"City",1,1,4,"andere Konf.",10
1993,1401,"Bahnhofplatz",14,"City",1,2,1,"EV-REF",1
1993,1401,"Bahnhofplatz",14,"City",1,2,2,"RK",11
1993,1401,"Bahnhofplatz",14,"City",1,2,4,"andere Konf.",73
1993,1402,"Sihlporte",14,"City",1,1,1,"EV-REF",57
1993,1402,"Sihlporte",14,"City",1,1,2,"RK",59
1993,1402,"Sihlporte",14,"City",1,1,4,"andere Konf.",43
1993,1402,"Sihlporte",14,"City",1,2,1,"EV-REF",4
1993,1402,"Sihlporte",14,"City",1,2,2,"RK",51
1993,1402,"Sihlporte",14,"City",1,2,4,"andere Konf.",27
1993,1403,"Selnaustrasse",14,"City",1,1,1,"EV-REF",118
1993,1403,"Selnaustrasse",14,"City",1,1,2,"RK",90
1993,1403,"Selnaustrasse",14,"City",1,1,4,"andere Konf.",101
1993,1403,"Selnaustrasse",14,"City",1,2,1,"EV-REF",2
1993,1403,"Selnaustrasse",14,"City",1,2,2,"RK",44
1993,1403,"Selnaustrasse",14,"City",1,2,4,"andere Konf.",46
1993,1404,"Paradeplatz",14,"City",1,1,1,"EV-REF",45
1993,1404,"Paradeplatz",14,"City",1,1,2,"RK",22
1993,1404,"Paradeplatz",14,"City",1,1,4,"andere Konf.",13
1993,1404,"Paradeplatz",14,"City",1,2,1,"EV-REF",4
1993,1404,"Paradeplatz",14,"City",1,2,2,"RK",33
1993,1404,"Paradeplatz",14,"City",1,2,4,"andere Konf.",9
1993,2101,"Bahnhof Wollishofen",21,"Wollishofen",2,1,1,"EV-REF",138
1993,2101,"Bahnhof Wollishofen",21,"Wollishofen",2,1,2,"RK",81
1993,2101,"Bahnhof Wollishofen",21,"Wollishofen",2,1,4,"andere Konf.",54
1993,2101,"Bahnhof Wollishofen",21,"Wollishofen",2,2,1,"EV-REF",6
1993,2101,"Bahnhof Wollishofen",21,"Wollishofen",2,2,2,"RK",102
1993,2101,"Bahnhof Wollishofen",21,"Wollishofen",2,2,4,"andere Konf.",55
1993,2102,"Bellariastrasse",21,"Wollishofen",2,1,1,"EV-REF",880
1993,2102,"Bellariastrasse",21,"Wollishofen",2,1,2,"RK",642
1993,2102,"Bellariastrasse",21,"Wollishofen",2,1,4,"andere Konf.",576
1993,2102,"Bellariastrasse",21,"Wollishofen",2,2,1,"EV-REF",48
1993,2102,"Bellariastrasse",21,"Wollishofen",2,2,2,"RK",233
1993,2102,"Bellariastrasse",21,"Wollishofen",2,2,4,"andere Konf.",187
1993,2103,"Muggenbühl",21,"Wollishofen",2,1,1,"EV-REF",724
1993,2103,"Muggenbühl",21,"Wollishofen",2,1,2,"RK",471
1993,2103,"Muggenbühl",21,"Wollishofen",2,1,4,"andere Konf.",310
1993,2103,"Muggenbühl",21,"Wollishofen",2,2,1,"EV-REF",24
1993,2103,"Muggenbühl",21,"Wollishofen",2,2,2,"RK",189
1993,2103,"Muggenbühl",21,"Wollishofen",2,2,4,"andere Konf.",132
1993,2104,"Morgental",21,"Wollishofen",2,1,1,"EV-REF",478
1993,2104,"Morgental",21,"Wollishofen",2,1,2,"RK",276
1993,2104,"Morgental",21,"Wollishofen",2,1,4,"andere Konf.",183
1993,2104,"Morgental",21,"Wollishofen",2,2,1,"EV-REF",6
1993,2104,"Morgental",21,"Wollishofen",2,2,2,"RK",151
1993,2104,"Morgental",21,"Wollishofen",2,2,4,"andere Konf.",148
1993,2105,"Manegg",21,"Wollishofen",2,1,1,"EV-REF",15
1993,2105,"Manegg",21,"Wollishofen",2,1,2,"RK",12
1993,2105,"Manegg",21,"Wollishofen",2,1,4,"andere Konf.",6
1993,2105,"Manegg",21,"Wollishofen",2,2,1,"EV-REF",1
1993,2105,"Manegg",21,"Wollishofen",2,2,2,"RK",6
1993,2105,"Manegg",21,"Wollishofen",2,2,4,"andere Konf.",23
1993,2106,"Waschanstalt",21,"Wollishofen",2,1,1,"EV-REF",36
1993,2106,"Waschanstalt",21,"Wollishofen",2,1,2,"RK",20
1993,2106,"Waschanstalt",21,"Wollishofen",2,1,4,"andere Konf.",23
1993,2106,"Waschanstalt",21,"Wollishofen",2,2,1,"EV-REF",2
1993,2106,"Waschanstalt",21,"Wollishofen",2,2,2,"RK",6
1993,2106,"Waschanstalt",21,"Wollishofen",2,2,4,"andere Konf.",4
1993,2107,"Auf der Egg",21,"Wollishofen",2,1,1,"EV-REF",565
1993,2107,"Auf der Egg",21,"Wollishofen",2,1,2,"RK",443
1993,2107,"Auf der Egg",21,"Wollishofen",2,1,4,"andere Konf.",244
1993,2107,"Auf der Egg",21,"Wollishofen",2,2,1,"EV-REF",17
1993,2107,"Auf der Egg",21,"Wollishofen",2,2,2,"RK",124
1993,2107,"Auf der Egg",21,"Wollishofen",2,2,4,"andere Konf.",181
1993,2108,"Kalchbühl",21,"Wollishofen",2,1,1,"EV-REF",1099
1993,2108,"Kalchbühl",21,"Wollishofen",2,1,2,"RK",635
1993,2108,"Kalchbühl",21,"Wollishofen",2,1,4,"andere Konf.",466
1993,2108,"Kalchbühl",21,"Wollishofen",2,2,1,"EV-REF",39
1993,2108,"Kalchbühl",21,"Wollishofen",2,2,2,"RK",222
1993,2108,"Kalchbühl",21,"Wollishofen",2,2,4,"andere Konf.",201
1993,2109,"Entlisberg",21,"Wollishofen",2,1,1,"EV-REF",1506
1993,2109,"Entlisberg",21,"Wollishofen",2,1,2,"RK",887
1993,2109,"Entlisberg",21,"Wollishofen",2,1,4,"andere Konf.",587
1993,2109,"Entlisberg",21,"Wollishofen",2,2,1,"EV-REF",40
1993,2109,"Entlisberg",21,"Wollishofen",2,2,2,"RK",404
1993,2109,"Entlisberg",21,"Wollishofen",2,2,4,"andere Konf.",288
1993,2110,"Verenastrasse",21,"Wollishofen",2,1,1,"EV-REF",456
1993,2110,"Verenastrasse",21,"Wollishofen",2,1,2,"RK",281
1993,2110,"Verenastrasse",21,"Wollishofen",2,1,4,"andere Konf.",205
1993,2110,"Verenastrasse",21,"Wollishofen",2,2,1,"EV-REF",8
1993,2110,"Verenastrasse",21,"Wollishofen",2,2,2,"RK",47
1993,2110,"Verenastrasse",21,"Wollishofen",2,2,4,"andere Konf.",58
1993,2111,"Seeblickstrasse",21,"Wollishofen",2,1,1,"EV-REF",287
1993,2111,"Seeblickstrasse",21,"Wollishofen",2,1,2,"RK",167
1993,2111,"Seeblickstrasse",21,"Wollishofen",2,1,4,"andere Konf.",103
1993,2111,"Seeblickstrasse",21,"Wollishofen",2,2,1,"EV-REF",10
1993,2111,"Seeblickstrasse",21,"Wollishofen",2,2,2,"RK",64
1993,2111,"Seeblickstrasse",21,"Wollishofen",2,2,4,"andere Konf.",45
1993,2301,"Höckler",23,"Leimbach",2,1,1,"EV-REF",528
1993,2301,"Höckler",23,"Leimbach",2,1,2,"RK",404
1993,2301,"Höckler",23,"Leimbach",2,1,4,"andere Konf.",217
1993,2301,"Höckler",23,"Leimbach",2,2,1,"EV-REF",14
1993,2301,"Höckler",23,"Leimbach",2,2,2,"RK",115
1993,2301,"Höckler",23,"Leimbach",2,2,4,"andere Konf.",90
1993,2302,"Marbachweg",23,"Leimbach",2,1,1,"EV-REF",692
1993,2302,"Marbachweg",23,"Leimbach",2,1,2,"RK",320
1993,2302,"Marbachweg",23,"Leimbach",2,1,4,"andere Konf.",175
1993,2302,"Marbachweg",23,"Leimbach",2,2,1,"EV-REF",5
1993,2302,"Marbachweg",23,"Leimbach",2,2,2,"RK",66
1993,2302,"Marbachweg",23,"Leimbach",2,2,4,"andere Konf.",78
1993,2303,"Sihlweidstrasse",23,"Leimbach",2,1,1,"EV-REF",706
1993,2303,"Sihlweidstrasse",23,"Leimbach",2,1,2,"RK",516
1993,2303,"Sihlweidstrasse",23,"Leimbach",2,1,4,"andere Konf.",293
1993,2303,"Sihlweidstrasse",23,"Leimbach",2,2,1,"EV-REF",38
1993,2303,"Sihlweidstrasse",23,"Leimbach",2,2,2,"RK",166
1993,2303,"Sihlweidstrasse",23,"Leimbach",2,2,4,"andere Konf.",132
1993,2401,"Parkring",24,"Enge",2,1,1,"EV-REF",254
1993,2401,"Parkring",24,"Enge",2,1,2,"RK",187
1993,2401,"Parkring",24,"Enge",2,1,4,"andere Konf.",216
1993,2401,"Parkring",24,"Enge",2,2,1,"EV-REF",10
1993,2401,"Parkring",24,"Enge",2,2,2,"RK",53
1993,2401,"Parkring",24,"Enge",2,2,4,"andere Konf.",92
1993,2402,"Kongresshaus",24,"Enge",2,1,1,"EV-REF",213
